model_label_short,Actionability,Comparative evaluation,Guideline field coverage,Personalization,Response structure,Safety and medical boundaries,Social determinants
Teacher: Qwen2.5-7B,1.9951130810319355,2.0,1.221183694354426,1.70314808500966,1.9404705080122742,1.9832253665189226,0.5498015156983038
Teacher: Llama 3.1 8B,1.998522559381748,2.0,1.2464364687872087,1.5558586202977611,1.980088646437095,1.999181725196045,0.8867247565351102
Student: 0.5B from Qwen,1.9982952608250937,2.0,1.235356182566965,1.653369701102398,1.910944425502898,1.9914081145584726,0.6370621872766261
Student: 0.5B from Llama,1.9990908057733834,2.0,1.2402425802954329,1.5279008978292987,1.9848619161268326,1.9993181043300374,0.903000340947835
Student: 0.5B from Both,1.9993181043300374,2.0,1.2397626112759643,1.5440390953517444,1.9816570064780088,2.0,0.9101602454824412
