model_key,model_label,person_index,action_verb_count,bullet_count,char_count,explanation_connector_count,line_count,medical_disclaimer_present,numeric_evidence_count,required_heading_count,required_heading_coverage,word_count,quality_status,generation_seconds,predicted_body_age_years
teacher_qwen25_7b,Teacher: Qwen2.5-7B,47,17,23,2618,1,23,1,13,5,1.0,362,passed,61.025,72.51
teacher_qwen25_7b,Teacher: Qwen2.5-7B,48,10,26,2683,1,26,1,19,5,1.0,379,passed,64.514,34.32
teacher_qwen25_7b,Teacher: Qwen2.5-7B,49,13,28,3201,3,28,1,19,5,1.0,450,passed,78.506,81.31
teacher_qwen25_7b,Teacher: Qwen2.5-7B,50,15,27,2759,1,27,1,13,5,1.0,376,passed,64.454,46.83
teacher_qwen25_7b,Teacher: Qwen2.5-7B,51,13,25,3032,5,25,1,15,5,1.0,428,passed,71.638,21.43
teacher_qwen25_7b,Teacher: Qwen2.5-7B,52,15,26,2864,0,26,1,19,5,1.0,389,passed,69.016,22.62
teacher_qwen25_7b,Teacher: Qwen2.5-7B,53,12,28,2637,1,28,1,15,5,1.0,351,passed,61.862,76.42
teacher_qwen25_7b,Teacher: Qwen2.5-7B,54,14,19,2537,1,19,1,13,5,1.0,350,passed,56.219,42.18
teacher_qwen25_7b,Teacher: Qwen2.5-7B,55,12,27,2907,3,27,1,21,5,1.0,410,passed,68.27,25.5
teacher_qwen25_7b,Teacher: Qwen2.5-7B,56,13,28,3062,3,28,1,16,5,1.0,427,passed,71.597,54.64
teacher_qwen25_7b,Teacher: Qwen2.5-7B,57,10,25,2279,2,25,1,15,5,1.0,306,passed,54.273,89.0
teacher_qwen25_7b,Teacher: Qwen2.5-7B,58,11,22,2617,1,22,1,19,5,1.0,381,passed,65.656,79.99
teacher_qwen25_7b,Teacher: Qwen2.5-7B,59,15,18,2747,0,18,1,18,5,1.0,400,passed,66.023,78.45
teacher_qwen25_7b,Teacher: Qwen2.5-7B,60,11,26,2379,2,26,1,19,5,1.0,323,passed,58.574,82.47
teacher_qwen25_7b,Teacher: Qwen2.5-7B,61,17,24,2687,1,24,1,16,5,1.0,367,passed,61.778,50.49
teacher_qwen25_7b,Teacher: Qwen2.5-7B,62,11,24,2543,1,24,1,18,5,1.0,343,passed,62.68600000000001,23.25
teacher_qwen25_7b,Teacher: Qwen2.5-7B,63,12,25,2348,1,25,1,11,5,1.0,310,passed,52.712,71.25
teacher_qwen25_7b,Teacher: Qwen2.5-7B,64,15,28,2876,1,28,1,21,5,1.0,399,passed,71.27600000000002,41.42
teacher_qwen25_7b,Teacher: Qwen2.5-7B,65,14,24,2559,1,24,1,22,5,1.0,363,passed,63.44,22.86
teacher_qwen25_7b,Teacher: Qwen2.5-7B,66,14,22,2369,2,22,1,17,5,1.0,334,passed,58.307,50.98
teacher_qwen25_7b,Teacher: Qwen2.5-7B,67,11,27,2973,2,27,1,20,5,1.0,414,passed,71.37899999999998,47.5
teacher_qwen25_7b,Teacher: Qwen2.5-7B,68,11,23,2552,1,23,1,17,5,1.0,354,passed,60.302,25.22
teacher_qwen25_7b,Teacher: Qwen2.5-7B,69,13,25,2709,2,25,1,15,5,1.0,371,passed,61.163,39.1
teacher_qwen25_7b,Teacher: Qwen2.5-7B,70,19,29,2712,1,29,1,22,5,1.0,377,passed,65.721,35.69
teacher_qwen25_7b,Teacher: Qwen2.5-7B,71,13,25,2680,2,25,1,13,5,1.0,376,passed,62.528,58.08
