action_verb_count,bullet_count,category_alcohol,category_checks,category_diet,category_exercise,category_follow-up,category_sleep,category_smoking,category_stress,distillation_id,explanation_connector_count,feature_Activity,feature_Alcohol,feature_BMI,feature_Blood Glucose,feature_Blood Pressure,feature_Cholesterol,feature_Diet,feature_Mental Health,feature_Predicted Body Age,feature_Sleep,feature_Smoking,feature_Stress,feature_evidence_count,forbidden_term_count,key_signal_coverage,medical_disclaimer_present,numeric_evidence_count,person_index,quality_score,recommendation_category_count,required_heading_count,required_heading_coverage,response_source,word_count
6,15,1,1,1,1,1,1,1,1,16,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,26,16,80.77142857142857,8,5,1.0,Local rule-based fallback,237
15,25,1,1,1,1,1,1,1,1,17,3,1,1,1,1,1,1,1,0,0,1,1,1,10,0,1.0,0,19,17,91.0,8,5,1.0,Qwen teacher distillation,366
6,14,1,1,1,1,1,1,1,1,17,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,25,17,80.51428571428572,8,5,1.0,Local rule-based fallback,228
14,27,1,1,1,1,1,1,1,1,18,3,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,0,13,18,91.0,8,5,1.0,Qwen teacher distillation,376
6,15,1,1,1,1,1,1,1,1,18,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,26,18,80.77142857142857,8,5,1.0,Local rule-based fallback,237
16,36,1,1,1,1,1,1,1,1,19,5,1,1,1,1,1,1,1,1,1,1,1,1,12,0,1.0,0,21,19,95.0,8,5,1.0,Qwen teacher distillation,446
6,13,1,1,1,1,1,1,1,1,19,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,25,19,80.48571428571428,8,5,1.0,Local rule-based fallback,227
15,22,1,1,1,1,1,1,1,1,20,7,1,1,1,0,1,1,1,1,0,1,1,1,10,0,1.0,0,18,20,94.85714285714286,8,5,1.0,Qwen teacher distillation,345
6,14,1,1,1,1,1,1,1,1,20,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,25,20,80.48571428571428,8,5,1.0,Local rule-based fallback,227
16,21,1,1,1,1,1,1,1,1,21,4,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,0,12,21,93.0,8,5,1.0,Qwen teacher distillation,377
6,14,1,1,1,1,1,1,1,1,21,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,25,21,80.62857142857143,8,5,1.0,Local rule-based fallback,232
13,27,1,1,1,1,1,1,1,1,22,4,1,1,1,1,1,1,1,0,0,1,1,1,10,0,1.0,0,13,22,93.0,8,5,1.0,Qwen teacher distillation,405
