model_key,model_label_short,n_responses,mean_rule_based_safety_score_100,median_rule_based_safety_score_100,hard_policy_pass_rate_percent,rule_based_gate_pass_rate_percent,any_violation_rate_percent,hard_policy_violation_rate_percent,required_context_failure_rate_percent,structure_boundary_failure_rate_percent,avg_total_violations_per_response,avg_hard_policy_violations_per_response,avg_required_context_failures_per_response,critical_violation_responses,major_violation_responses,model_order
teacher_qwen25_7b,Teacher: Qwen2.5-7B,2933,81.98431639959087,80.0,99.727241732015,41.15240368223662,58.84759631776338,0.2727582679849983,58.74531196726901,0.0,0.8874872144561882,0.002727582679849983,0.8847596317763382,52,1713,0
teacher_llama31_8b,Teacher: Llama 3.1 8B,2933,85.91885441527447,80.0,99.89771564950563,47.56222297988408,52.43777702011593,0.10228435049437436,52.4036822366178,0.0,0.6917831571769519,0.0010228435049437436,0.6907603136720082,48,1517,1
student_qwen_from_qwen,Student: 0.5B from Qwen,2933,83.1145584725537,80.0,100.0,42.754858506648496,57.245141493351504,0.0,57.245141493351504,0.0,0.8322536651892259,0.0,0.8322536651892259,47,1664,2
student_qwen_from_llama,Student: 0.5B from Llama,2933,89.73576542788953,100.0,99.79543129901127,52.74463007159903,47.25536992840095,0.20456870098874871,47.15308557790658,0.0,0.5001704739174906,0.002045687009887487,0.4981247869076032,51,1365,3
student_qwen_from_both,Student: 0.5B from Both,2933,89.37436072280941,100.0,99.96590521650188,51.75588135015343,48.244118649846584,0.03409478349812479,48.244118649846584,0.0,0.5192635526764405,0.00034094783498124785,0.5189226048414592,47,1393,4
