model_key,model_label_short,records,mean_score,median_score,pass_rate_percent,gate_issue_rate_percent,word_count,bullet_count,required_heading_coverage,action_verb_count,explanation_connector_count,numeric_evidence_count,medical_disclaimer_present
teacher_qwen25_7b,Teacher: Qwen2.5-7B,2933.0,82.32732355949544,82.48,55.404023184452775,44.595976815547225,382.6798499829526,25.963177633822024,1.0,13.315376747357654,1.3849301056938288,17.553017388339583,1.0
teacher_llama31_8b,Teacher: Llama 3.1 8B,2933.0,82.71960790999006,82.88,49.02829867030344,50.971701329696565,421.15956358677124,7.764064098192977,1.0,9.985680190930788,2.2863961813842484,15.64780088646437,1.0
student_qwen_from_qwen,Student: 0.5B from Qwen,2933.0,82.33721445618838,82.48,61.54108421411524,38.45891578588476,373.23457211046707,25.569382884418683,1.0,13.358336174565292,1.445618820320491,16.81418342993522,1.0
student_qwen_from_llama,Student: 0.5B from Llama,2933.0,82.48456188203217,82.55,45.209682918513465,54.79031708148653,407.8973747016706,5.284691442209342,1.0,8.936242754858506,2.2625298329355608,13.283327650869417,1.0
student_qwen_from_both,Student: 0.5B from Both,2933.0,82.5344664166386,82.62,44.459597681554726,55.54040231844528,404.9079440845551,5.101943402659393,1.0,9.127514490282987,2.196385952949199,13.95329014660757,1.0
