model_key,model_label_short,records,mean_score,median_score,std_score,min_score,max_score,pass_count,review_needed_count,gate_issue_count,pass_rate_percent,gate_issue_rate_percent,model_order
teacher_qwen25_7b,Teacher: Qwen2.5-7B,2933.0,82.32732355949544,82.48,3.2434964465032983,69.73,93.84,1625.0,1308.0,1308.0,55.404023184452775,44.595976815547225,0
teacher_llama31_8b,Teacher: Llama 3.1 8B,2933.0,82.71960790999006,82.88,2.6902722954315217,73.83,92.2,1438.0,1495.0,1495.0,49.02829867030344,50.971701329696565,1
student_qwen_from_qwen,Student: 0.5B from Qwen,2933.0,82.33721445618838,82.48,3.316410812312848,72.45,91.84,1805.0,1128.0,1128.0,61.54108421411524,38.45891578588476,2
student_qwen_from_llama,Student: 0.5B from Llama,2933.0,82.48456188203217,82.55,2.336947449996373,74.16,90.07,1326.0,1607.0,1607.0,45.209682918513465,54.79031708148653,3
student_qwen_from_both,Student: 0.5B from Both,2933.0,82.5344664166386,82.62,2.4156670653001706,72.82,90.41,1304.0,1629.0,1629.0,44.459597681554726,55.54040231844528,4
